image,description,display name,category
46603.jpg,"Style Note The rising temperature has us all in a tizzy but this stylish pair of sandals is one reason why we love the summer! catwalk comes up with warm weather footwear essentials that turn traditional fashion styles on its head. This beautifully crafted pair will transform your daily spring wear with a bold yet graceful edge. Heel: 2.5"" Product Details Beaded thong straps with cut-outs and a synthetic toe separator Caramel coloured footbed with printed branding Wedge style heel TPR outsole with herringbone grooves at the forefoot and horizontal grooves at the heel region Material and Care Synthetic Wipe with a clean cloth to remove dust Do not store under sunlight",Catwalk Women Gold Toned Wedges,Heels
30920.jpg,"Composition Green harem pants made of cotton mull fabric, with an elasticated and drawstring waist, crushed look and tapered legs with bands at the ankles   Fit  Regular   Wash care  Hand wash separately in cold water using mild detergent Dry in shade Do not soak This unique fabric has been dyed/ printed using traditional dyeing processes. Some colours may initially transfer when in dry or wet contact with light coloured fabrics or upholstery. This transfer will reduce after a few washes but we recommend that you wash the product separately for the first few washes.  These harem pants are created with a soft cotton blended fabric, and is perfect to wear with your kurtas or kurtis. For those inclined to experiment in ethnic boho chic, style this with a long basic top, a waistcoat with heavy ethnic detailing, and ethnic sandals.   Model statistics  The product is a size M on a model of height 5'8"" and waist 26&rdquo",Fabindia Women Green Harem Pants,Trousers
4968.jpg,"Composition Yellow round neck t-shirt made of 100% cotton, with graphic stripes, lettering and applique on the front Fitting Regular  Wash care   Machine wash separately in cold water  Use mild detergent  Do not bleach  Avoid soaking  Remove promptly  Line dry inside out in shade  Warm iron only  Do not iron directly on print/embroidery   Make every little boys dream come true with this tree house tee from gini and jony. The house applique and directions for making a tree house on the front of the tee all add to the happy energy of this tee.  Team this with denim shorts and comfy crocs footwear for happy, casual outings with your little one, while the pure cotton fabric stays soft on his skin and keeps him fresh and comfortable all day.",Gini and Jony Boy's Kaffle Yellow Infant Kidswear,Tshirts
4233.jpg,"Composition Orange round neck t-shirt in 100% cotton, with chest print Fitting Slim Fit Wash care 1. Machine wash/hand wash separately in mild detergent 2. Do not bleach 3. Do not wring 4. Dry in shade 5. Medium iron 6. Do not iron on the print Designed for the true fans of Jay, Sean and Seal, this orange t-shirt from probase lives up to the energy of these rap stars. Made of pure cotton fabric, this slim fit tee will keep you dry and comfortable while you dance to the rappers. Pair it with denims and lifestyle shoes for that classy look.  Model's statistics 1. The model wears size M in t-shirts 2. Height-6', Shoulders-19""",Probase Men's Away To Glory Green Tshirt,Tshirts
59640.jpg,"Magenta coloured sari with blue and silver embroidery work, has sequins and zari work",FNF Magenta Wedding Collection Sari,Sarees
45789.jpg,"Style Note The Spanish influences in the design details of this sandal is the reason for the Spanish name, senorita. Subtle pastel hues, super soft footbed styling and classic designs with a sophisticated polish, style this pair with kohl-rimmed eyes and an ethno-western ensemble! Product Description Sandal with thong style criss- cross straps in reddish pink with an embellishment Smooth footbed TPR outsole with wave pattern grooves on the forefoot and a fancy heel Material and Care Synthetic Wipe surface with soft, clean cloth to remove dust Do not machine wash or use a drier Do not store in direct sunlight",Senorita Women Maroon Sandals,Flats
11459.jpg,"Composition Light blue shirt made of 100% cotton, has cut-away collars with a front buttoned placket, full arm cuff sleeves and a curved hemline  Fitting Comfort  Wash care only hand wash in cool water Do not scrub, bleach, wring, tumble dry or dry clean Turn inside out and dry flat in shade Warm iron, but do not iron on print or embroidery  Take formal dressing to the next level with this shirt from united colors of benetton. The subdued blue colour suits all occasions, and the cotton fabric is sure to keep you fresh and comfortable all day. Team this with light brown formal pants and leather shoes for a formal look, or with jeans and brown suede shoes for a semi-formal touché .  Model statistics The model wears size M in shirts Height-5'11"", Shoulders-18""",United Colors of Benetton Men Light Winters Blue Shirts,Shirts
50390.jpg,"Silver coloured steel case with a fixed bezel for durability, style and comfort Stainless steel strap with a press clasp Black dial with silver coloured hands miss sixty glossy logo across the dial Screw to reset time Solid case back for enhanced durability Water resistance up to 30 meters, allowing you to use it even when washing hands or light rain Warranty: 2 years",Miss Sixty Black Dial Watch,Watches
19516.jpg,"Composition Black v-neck sleeveless sweater made of 80% lambswool and 20% nylon, has a ribbed neck, armholes and hem and branding embroidered on the left chest  Fit Regular  Wash care Dry clean recommended Hand wash cold Do not bleach, wring or tumble dry Dry flat in shade Cool iron  Do not iron on decorations  Enjoy the chill in this sleeveless sweater from united colors of benetton. The ribbed V-neck and armholes makes this a versatile vest while the soft lambswool/nylon blended fabric keeps you feeling warm and comfortable all day long. Layer this over shirts or tees, jeans and leather slip-ons for a laid back look.  Model Statistics Product is a size XL on a model of height 6' and shoulders 18&rdquo",United Colors of Benetton Men Black  Sweater,Sweaters
14921.jpg,"Composition Green sweatshirt made of 100% cotton, has a round ribbed neckline, full sleeves with ribbed cuffs, and print on the chest with felt detailing Fitting Slim Wash care Machine wash inside out at 40 degrees with like colours Do not bleach Dry in shade Do not iron on print Are you casualty-prone? Then there's no better way to laugh off your off-balance stance than with this Mr. Bump sweatshirt from mr. men. Dedicated to the loving character of Mr. Bump of the Mr. Men series authored by Roger Hargreaves, this sweatshirt is crafted from pure cotton with long sleeves to keep you warm through the winter. Simply pair it with jeans, throw on a biker jacket, slip into sneakers and you're all set for a fab winter! Model statistics The model wears size M in sweatshirts Height-6.1', Shoulders- """,Mr. Men Men Beware Teal Tshirts,Tshirts
25596.jpg,"Mustard yellow and navy kurta churidar set with dupatta Mustard yellow kurta, has a round neck, three quarter length sleeves, gold print on the chest and a vented hem Navy churidar, has a drawstring waist and tapered legs with a press button closure Yellow and navy ombre dyed dupatta with stitch detailing on the ends",Vishudh Women Mustard Yellow & Navy Churidar Kurta with Dupatta,Kurta Sets
33763.jpg,"Sporty and ultra-comfortable, these adidas NEO Label EZ Desert boots take the classic sandy terrain style to a contemporary and suave silhouette. A minimally constructed shoe, paramount attention is given to shape and detail. The signature adidas 3-stripes are simply perforated on the midfoot and a hint of fresh turquoise on the collar adds some tang to the, otherwise polished, olive colour leather upper. Upper Aniline leather upper Adidas patented 3-Stripes perforated on the midfoot for breathability and heightened style Lacing system for snug Fit Soft leather tongue with branding and padded sockliner for all-day comfort Branding at the heel Midsole Adidas Vibesurround enhanced comfort system midsole for lightweight comfort and impact protection PU/molded EVA footbed for instant step-in comfort. Outsole Geometric grooves for greater traction Shoe care Brush dirt and dust off the surface and treat surface with leather impregnation spray Do not wash or store in direct sunlight",ADIDAS Neo Men Ez Desert Boot Olive Shoes,Casual Shoes
52554.jpg,"Blue jeans with a slight washed and creased look, has a buttoned waist and a zipper fly, two front pockets with a smaller pocket inside the right pocket and two patch pockets at the back with floral embroidery",Pepe Jeans Women Blue Jeans,Jeans
28719.jpg,"Composition White and brown printed sleeveless kurta made of 100% cotton, has a round neck and slit side seams  Fit Regular  Wash care Wash dark colours separately Do not bleach Dry inside out in shade Warm iron; do not iron on decorations  Every woman needs a choice of kurtas in her wardrobe. The USP of w is a simple, elegant silhouette, coupled with modern design details. In this kurta we see the traditional garment in a new avatar with w's innovative styling. For the conservative at heart, this piece can be worn with leggings and delicate sandals. For a boho chick meets rebel style, colour block this with bright capris.  Model statistics The product is a size 8 on a model of height 5'8"" and chest 33""",W Women Printed White Kurta,Kurtas
11042.jpg,"Composition Half sleeves shirt with purple, black and white plaid checks, made of 100% cotton, has buttoned patch pockets on both chests with stud detailing, full length buttoned placket and a curved hemline with attached loops   Fitting Slim  Wash care Machine/hand wash in cold water at 30 C with mild detergent Wash dark colours separately Do not bleach Tumble dry low Dry in shade Warm iron  When it's Thursday and you want to wear something that's not formal, but not casual either, try this semi-formal checked shirt from scullers. The shirt looks fresh and crisp and will keep you cool all day long. Pair it with corduroys for a relaxed look.  Model statistics The model wears size M in t-shirts Height-6', Shoulders-18""",Scullers Men Check Purple Shirts,Shirts
55967.jpg,"Colorbar Velvet Matte All Fired Lipstick 83V Nourished with Vitamin E Its unique 2-in-1 formulation gives the lips a creamy, yet matte finish",Colorbar Velvet Matte All Fired Lipstick 83V,Lipstick
38974.jpg,"Style Note  The addition of refined details in this formal staple elevates this cotton shirt above the ordinary. Incorporating this season's hottest trends from the runway into your wardrobe, this shirt tops our officewear wish list! style it with pale chinos and understated, tonal accessories.   Product Details  Black and white checked shirt, made of 100% cotton, has long sleeves with buttoned cuffs, full buttoned placket, a patch pocket on the left chest and a curved hem   Material and Care  100% cotton  Delicate machine wash at 30 degrees with like colours using mild detergent  Do not wring, scrub or bleach  Tumble dry low  Medium steam iron  do not iron on decorations   Size and Fit  Slim fit  The model (height 6' and shoulders 18â   &  euro ï  & dagger ï &dagger ????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????) is wearing a size 39",Arrow New York Men Black Check Slim Fit Shirt,Shirts
26918.jpg,"Composition Sleeveless black top made of 100% cotton, has a round neck, braid detail along the neckline, floral tie ups at the shoulder that can be knotted into a bow   Fit  Regular   Wash care  Wash dark colours separately in warm water (maximum 40 degrees) Use mild detergent Do not wring or bleach Flat dry in shade Do not iron on print  jealous 21 stays in-vogue with this stylish piece that is sure to become a love-forever favourite in your casual wardrobe. Wear it with form fitting denims and a blazer, style with understated accessories and peep-toe shoes.  Model statistics  The product is a size M on a model of height 5'8"" and chest 33""",Jealous 21 Women Black Top,Tops
3992.jpg,"Composition Black round neck t-shirt made of 100% cotton, with graphic print on the front Wash care 1. Machine wash separately in cold water 2. Use mild detergent 3. Do not bleach 4. Avoid soaking, remove promptly 5..Line dry inside-out in shade 6. Warm iron only 7. Do not iron directly on print/embroidery Fitting Comfort Burst into your humorous attitude with this black t-shirt from the Mr. Funny range of mr. men. Designed with a bomb blasting fun and laughter graphic, this tee is sure to tickle the funny bone of everyone around you. Made of pure cotton fabric, this tee wicks away sweat and keeps you comfortable and dry. Pair it with jeans or chinos and comfortable lifestyle shoes or sandals from the international collection at myntra to complete your fashion statement. Model's statistics 1. The model wears size M in t-shirts 2. Height-6', Shoulders-18""",Mr.Men Men's Funny Black T-shirt,Tshirts
39731.jpg,"Charcoal grey short skirt, has two tiered ruffles below the waist band and a hook and eye closure with a concealed zipper at centre back",Arrow Woman Grey Skirt,Skirts
18801.jpg,"A style essential, the belt is a must-have accessory for the well-dressed male. peter england perfects this traditional accessory's foray into    modern wardrobes with its classic techniques and innovative designs. Wear this piece with corduroy trousers or denims, casual shoes and t-shirts. Length :95 cm Made of synthetic leather Tang clasp for a snug Fit Holes to customise fit Fixed loop near the buckle to hold belt in place Contrast stitch detailing along the centre for style Wash care Wipe surface with a clean, dry cloth to remove dust Do not store in sunlight",Peter England Men Casual Brown Belt,Belts
34901.jpg,"Style Note fabindia's natural, craft-based pieces pay tribute to small business artisans in rural India.   This earthy stole perfectly captures the traditional mood of the moment with its creative patterning. The fabric's qualities result from the traditional method of sizing and hand weaving - techniques passed on to the artisans from generation to generation. Twist it into a stylish knot or wrap it around your shoulders and feel the luxe fabric on your skin. Product Details Olive green kota hand printed dupatta with neatly hemmed edges Material Care Cotton This unique fabric has been dyed/printed using traditional dyeing processes. Some colours may initially transfer when in dry or wet contact with light coloured fabrics or upholstery. This transfer will reduce after a few washes but we recommend that you wash the product separately for the first few washes. Size Approximate length: 250 cm Approximate width: 104 cm",Fabindia Olive Green Hand Printed Kota Dupatta,Dupatta
49530.jpg,Style Note One glance at this stylish purse from rocia and   you are sure to go weak in the knees! This red purse with its   ethnic design is enough to make it a bag worth taking its place on the   top of your wish list,Rocia Women Red Purse,Clutches
22495.jpg,"Designed for those want the lightest running shoe without sacrificing support and performance, this AdiStar Ride 3 shoe is a mere 358 grams.  If you're at the peak of your game you want a shoe that will take you all the way and adidas have put the most advanced technology into this shoe while keeping the weight light. Upper Microsuede and mesh upper for maximum breathable comfort and style adidas Patented 3-Stripes in black plus reflective features on the midfoot for enhanced shoe structure and visibility Geofit build with meshed and padded collar and tongue and fabric inner for all-day snug comfort Lace-up system for a snug, customised Fit Soft footbed for all-day comfort Midsole AdiPrene midsole for an absolutely cushioned ride, lightweight comfort and enhanced impact protection Heel stabilizer in the heel for absolute impact protection for the backfoot and ankles TORSION midfoot  Outsole Durable rubber outsole with flex grooves and lugs for absolute grip in all kinds of weather Shoe care Wipe surface with a damp, clean cloth to remove dust and dirt Do not wash or store in direct sunlight",ADIDAS Men Adistar Ride 3  White  Sports Shoes,Sports Shoes
32421.jpg,"Style Note With the bold prints on this classic graphic tee, adidas brings in sport style with a bang this spring. A sharp add to an off-duty wardrobe, balance this T-shirt with tailored shorts or fitted denim trousers. An effortless way to infuse a sport-inspired lifestyle into your everyday wear, this tee is worth the buy, especially because it's from favourite sportswear brand adidas! Product Details Mustard yellow round neck T-shirt, has a ribbed neckline, short sleeves and graphic print on the front Material and Care 100% cotton only hand wash Do not machine wash or use fabric softener Wash with like colours Wash and iron inside out Do not iron on motif/print/trims/logo Size and Fit Regular fit The model (height 6' and shoulders 18"") is wearing a size M",ADIDAS Men Printed Yellow T-shirt,Tshirts
49893.jpg,"Style Note Check out Q&  Q's latest collection of watches for kids. Minimalist styling peppered with innovative design details, we love wearable timepieces by QnQ! Now let your little one flaunt his/her timely bling with panache.  Product Details Case style: Yellow plastic round case Dial style: White and yellow dial with brown and yellow hands Strap style: Yellow plastic strap with a tang clasp Features: Branding on the 12 hour mark and a screw to reset time Water resistance to 10 BAR, wearable around sinks, during swimming, poolside diving but not highboard diving and surfing Warranty: 1 year Size Case diameter: 25 mm Case thickness: 5 mm",Q&Q Kids Unisex White Dial Analog Watch,Watches
35692.jpg,"U.S Polo Association believes in the spirit of Polo. The brand embodies an enthusiasm for competition, a passion for horses and an appreciation for all those who work to bring the sport together. Wear these casual Oxford shoes in premium quality leather to showcase the genuine spirit known throughout the world as Classic American Style -    comfortable and casual, but still perfectly put together. Upper Leather and suede upper in with strategically placed overlays for durability and style Suede stripe detailing in brand-colours for heightened style Padded tongue and collar for customised comfort Lace-up system for a snug Fit Midsole PU midsole for lightweight comfort Fabric footbed for sweat-free wear Outsole TPR outsole with herringbone and geometric grooves for absolute grip, durability and easy turning of the feet shoe care Wipe surface with a damp, clean cloth to remove dust and dirt Use a branded leather conditioner and brush Do not machine wash or store in direct sunlight",U.S. Polo Assn. Men White Shoes,Casual Shoes
46510.jpg,Case style: Analog watch with a rectangular case Dial style: Black dial with silver hands Strap style: Black genuine leather strap with a tang clasp Features: One chronograph time display and water resistant to 30 M that can be used around sinks and rain splashes Warranty: 1 year,Timex Men Black Chronograph Watch,Watches
13800.jpg,"Grey sweatshirt, round neck, long sleeves",Proline Mens Grey Sweatshirt,Sweatshirts
10062.jpg,"Composition Grey round neck t-shirt made of 100% cotton, with screen print across the chest and puma Jumping cat logo printed below the nape of the neck Fitting Regular Wash care Gentle machine wash with like colours in cool water at 30 degrees Do not bleach Do not tumble dry Warm iron Do not dry clean puma again pays tribute to the origin of Sports with this Run Hard t-shirt. Look great on any random day with this cool T-shirt from Puma. Pair it with slim Fit denims and canvas shoes to create a great urbane look. Model statistics The model wears size M in t-shirts Height-6', Shoulders-18""",Puma Men Puma runhard tee Grey Tshirts,Tshirts
39830.jpg,"Style Note  girls will love the cute look of these shorts from gini and jony. Team them with a T-shirt and sandals for a summery look.   Product Details  Purple  shorts with a comfortable waistband with drawstrings, contrast  panelling on the hems and at the sides and embroidered branding above  the left hem   Material and Care  95% cotton and 5% lycra  Machine wash cool with like colours using a mild detergent  Do not tumble dry, bleach or soak  Wash and dry inside out in shade  Warm iron only  Do not iron on print/embroidery",Gini and Jony Girls Core Purple Shorts,Shorts
28007.jpg,"Style Note Revel in the comfort of soft fabric with this modern classic innerwear - the boxer brief from jockey. The superior fabric provides breathable comfort and the design ensures there's no see-through lines, while the cut offers easy leg movement. The printed label allows abrasion free comfort and the fly construction offers maximum support and ease. Product Details Grey coloured boxer brief Double layered contoured pouch design Unique leg treatment that prevents the fabric from riding up Contrast coloured, plush inner waistband with a comfy grip Material and Care 100% premium combed cotton Machine wash delicate at 40 degrees with like colours using a mild detergent Do not bleach, iron or dry clean Flat dry in shade Fit Low rise fit",Jockey ZONE Men Grey Modern Trunks US19,Trunk
27026.jpg,"Style Note If you're a denim person, these denim shorts from jealous 21 will delight you. Designed to contour the hips and Fit the waist to perfection, the label gets it right every time - you might not want to take these off once you pull them on. They go perfectly with your t-shirts. Style this tastefully with flip flops or sports shoes Product Details Blue cropped shorts with a fold over detail at the hem, has a broad waist band with belt loops, two insert pockets on the front with a small coin pocket on the right, two patch pockets at the back with metallic studs, brand patch on the back at the waistband and a slightly crumpled look with a button and zip closure on the front Material and Care 99.3% cotton and 0.7% spandex Machine or hand wash in cold water at 30 degrees with like colours using a mild detergent Do not bleach or wring Flat dry in shade Warm iron; do not iron on decorations Size and Fit Jealous 21's ultra slim Fit The model (height 5'8'' and waist 28'') is wearing a size 28",Jealous 21 Women Blue Cropped Denim Shorts,Shorts
5903.jpg,"Style Note puma will teach you how to breeze through life looking absolutely brilliant with this pair of shoes. Great for casual wear with a pair of jeans or shorts or perhaps a workout at the gym, these shoes are just right to revolutionise your wardrobe. Product Details Mesh upper with synthetic suede overlays for structure and breathability Formstripe on both sides Cushioned collar and tongue for plush comfort Lace-ups for snug  Fit Full-length lateral groove in the midsole to reinforce stability throughout the gait cycle OrthoLite sockliner for superior comfort, material regeneration, air circulation and anti-microbial function EverRide technology to reduce weight and improve forefoot cushioning EverTrack in the outsole for greater durability in high-wear areas Rocker shape of outsole allows for natural stride with an effortless toe-off Flex grooves built across the waffle patterned outsole to enhance flexibility Material and Care Mesh Wipe surface with soft, clean, damp cloth to remove dust Do not machine wash Do not store in direct sunlight",Puma Men's Faas 300 Red Shoe,Casual Shoes
55903.jpg,Double patented technology for long wear Comes with a special flat brush that eases application and ensures freedom from streaks,Colorbar Quick Finish Nail Lacquer 15,Nail Polish
43301.jpg,"Style Note  Chill out in style and revel in comfort with these uber-cool flip-flops from united colors of benetton. Add style to your outfit by pairing these funky flip-flops with torn jeans and t-shirt.   Product Details  Red flip-flops with rubber straps and soft fabric toe separator  Cushioned footbed with graphic print all over  Rubber outsole with wave patterned grooves   Material and Care  Rubber  Wipe surface with soft, clean, damp cloth  Do not machine wash",United Colors of Benetton Men Red Flip Flop,Flip Flops
26967.jpg,"Composition Navy blue and white checked sleeveless top made of 100% cotton, has a round neck, full front buttoned placket, ruffles on the armholes, front and placket and a sash at the back Fit Regular Wash care Machine or hand wash cold at 30 degrees with like colours using a mild detergent Tumble dry low Dry in shade Do not bleach Warm iron; do not iron on decorations jealous 21 stays in-vogue with this stylish piece that is sure to become a love-forever favourite in your casual wardrobe. Wear it with form fitting denims, style with understated accessories and peep-toe shoes. Model statistics The product is a size M on a model of height 5'8"" and chest 33""",Jealous 21 Women Check Navy Blue Top,Tops
2025.jpg,"The stylish men now have reasons to cheer! Their ultimate piece of style   garment is here! For the lean and tall men, the t-shirt promises to be a show stealer for them! Model's Statistics: 1. The model wears size M in t-shirts 2. Height-5.11"", Shoulders-17.5 """,ADIDAS Mens Full Grey T-shirt,Tshirts
48760.jpg,"Style Note From the depths of the ocean, Gitanjali Lifestyle presents miki pearl &ndash a stunning new collection of fresh water pearl jewellery. The combined effect of pearls with stones on this classic necklace and earring set gives you a look that is radiant and priceless. Product Details earrings and necklace set, pearl necklace, stone encrusted silver coloured pendant, stone encrusted silver coloured earrings with a single dangling pearl Materials and Care Freshwater pearls Wipe with clean dry cloth to remove dust",Miki Pearl Women Ivory Jewellery Set,Jewellery Set
29273.jpg,"Composition Blue and white check shirt made of 100% cotton, has a spread collar with ruffles, a split neckline, a half buttoned placket with ruffles, long sleeves with buttoned cuffs and a mid arm button tab, a patch pocket on the left chest and a curved hem  Fit Regular  Wash care Machine wash using a mild detergent Wash dark colours separately Wash and dry inside out Do not bleach, do not wring Flat dry in shade or tumble dry Warm iron  This stylish shirt with its bright checks is kept feminine with elasticated sleeves and a slim collar, while the cotton fabric keeps you fresh and comfortable all day. Team this with jeans and leather shoes for a cowgirl look.  Model statistics The product is a size M on a model of height 5'8” and chest 33""",Wrangler Women Suzan Blue Shirt,Shirts
24817.jpg,"Composition Navy blue and yellow shirt made of 100% cotton, has a spread collar, full sleeves with buttoned cuffs, two buttoned patch pockets on the chest, full front button placket and a curved hemline Fit Slim Wash care Machine wash separately in cold water using a mild detergent Do not soak or bleach Line dry inside out in shade Warm iron  do not iron on print/embroidery Designed in a balanced combination, this shirt from basics adds that extra bounce to your style. Feel light and comfortable in the cotton fabric and look casual with the curved hemline. Team it with chinos and casual boots. Model statistics Product is a size M on a model of height 5'8&rdquo  and shoulders 18&rdquo",Basics Men Navy Slim Fit Checked Shirt,Shirts
12396.jpg,"It's comfort unparalleled once you slip into any one of these black socks from Reid and Taylor. Made of cotton and lycra blend fabric, these socks can be worn both for casual outings. Made of cotton and lycra blend for all-day comfort, stretch and absorption of sweat 1st pair has argyle design on either side of the cuffs in light grey, white and dark grey 2nd pair has horizontal stripes in grey, red, black and blue in varying widths 3rd pair has diamonds and stripe design in white, brick red and light brown Rib knit cuff with roomy toe area for superior comfort and durability in all three pairs sock care Machine wash cold in 40 degree water using mild detergent Wash dark colours separately Do not use softeners Do not iron, dry clean or tumble dry Dry in shade",Reid & Taylor Men Stripes Blue Socks,Socks
57026.jpg,"Olive green Modern Classic Rio brief, is made of a soft absorbent fabric, has a double layered contoured pouch designed for maximum support, higher contoured leg opening for easy leg movement, full back coverage for comfort, soft and covered elasticated waistband",Jockey MC Men Olive Rio Briefs 8033,Briefs
49578.jpg,"Style Note Synthetic leather sandals combining style and durability by catwalk. Fashioned in understated hues, this open-toed pair provides style and comfort coupled with durability. These go with ethnic and casual ensembles. Product Details Black sandal with synthetic leather upper in a cut- out patterning Mildly padded footbed for instep comfort Rubber outsole with branded grooves on the forefoot and an upraised heel with floral groove on the heel Material and Care  Synthetic Wipe with a clean cloth to remove dust Do not store under sunlight",Catwalk Women Black Catwalk Flats,Heels
52936.jpg,Multicoloured printed sari Comes with a blouse piece,FNF Multi Coloured Printed Sari,Sarees
51410.jpg,"Style Note With its classic styling this shirt from myntra is a piece that will easily slot into your daily wear wardrobe. Made of pure cotton this shirt lets you stay comfortable even on sunny days. Pair it with corduroy trousers and polished derby shoes for a look that exudes complete control and confidence. Product Details White, navy blue, green, red and orange checks shirt, spread collar, long sleeves with buttoned cuffs, patch pocket on left chest, full buttoned placket, yoke at back and a curved hem Material and Care 100% cotton Machine wash cold Warm iron Size and Fit Regular fit The model (height 6' and shoulders 18"") is wearing a size M",Myntra Men White and Navy Blue Check Shirt,Shirts
40027.jpg,"Style Note Sport this black cap designed by adidas with climalite technology. Stay cool while the weather heats up, with the old school Adidas tri-stripes, beat the scorching sun and at the same time make a style statement with this sporty cap! Product Details Black cap with embroidered eyelets on the crown, 'Adidas' text printed on the front and Adidas patented 3-Stripes appliquéd on the visor partly on crown, with an adjustable buckle back strap and Climalite embroidered on back strap Material and Care 100% polyester Hand wash cold water Do not dry clean Line dry",ADIDAS Unisex Black Cap,Caps
39064.jpg,"Style Note An effortless way to tap into this summer's hottest colour trends, this polo T-shirt form arrow is a versatile piece. We suggest that you style this with classic, fitted denims and a denim jacket one tone lighter than your jeans. Wear this with any kind of casual shoes. Product Details Navy blue and grey striped polo T-shirt with a grey spread collar, has short sleeves with ribbed cuffs, two buttoned placket, embroidery on the left chest and a vented hem Material and Care 100% cotton Hand or machine wash Delicate machine wash Use mild detergent Do not dry clean, tumble dry, wring, scrub or bleach Warm iron Do not iron directly on print/embroidery Size and Fit Regular The model (height 6' and waist 18"") is wearing a size M",Arrow Sport Men Navy Blue & Grey Striped T-shirt,Tshirts
2544.jpg,"These  unique aqua blue numero uno flip flops with white stripes and silver  lettering is the perfect way to elevate summer casuals. Wear these with  your jeans or any other casuals and bring it alive with its lively  colour. Upper   Rubber thong straps with rubber toe separator for added comfort, support and durabilityStraps embossed with branding Midsole   Soft footbed with striped graphics for funky look and impact protection Outsole   Ridged rubber outsole for good grip and traction   shoe care  Do not machine wash Rub surface with dry clean cloth to remove dust and dirt      ",Numero Uno Men's Casual Blue Flip Flop,Flip Flops
45023.jpg,"Case style: Analog watch with a circular stainless steel case Dial style: Black dial with silver hands Strap style: Beaded white pearls bracelet strap with a butterfly clasp Features: Branding on the 12 hour mark, fixed bezel with textured patterns and crystal embellishments on it and screw to reset time Water resistance up to 30 metres Guarantee: 1 year against manufacturing defects",Maxima Women Black Dial Pearl Strap Watch,Watches
41792.jpg,"Style Note remanika combines edgy style with flattering fits in all their creations, including this trendy top. With excellent styling and a well designed look, this simple top will get the temperatures soaring when paired with a pair of leggings and flat strappy slip ons.  Product Details Black sleeveless tunic, has a round neckline with the sleeves forming straps at the back converging to form a V, crystal embellishments on either shoulder and flaring pin tucks from below the neckline  Material and Care Blended Cotton Gentle machine wash Do not bleach and tumble dry low Use cold iron  Size and Fit Regular fit The model (height 5'8"" and chest 33"") is wearing a size S",Remanika Women Black Tunic,Tunics
15717.jpg,"Built for speed on hard grounds, the nike Mercurial Victory II range of lightweight soccer cleats are designed for that revolutionary speed, coupled with ultimate traction, cushioning and control. The entire shoe is designed such that it mirrors the shape of the foot and offers a premium Fit allowing you to strike the ball fast and clear. Target victory on grassy fields Constructed with soft, supple, synthetic leather for that ideal fit, stability and better ball feel and control, the nike Mercurial Victory II shoe is configured with firm ground (FG) cleats that can be used on short grass fields that may be slightly damp, but not muddy. It has a contoured sockliner to ensure a snug and protective fit for the foot and a traditional lacing system that ensures that the cleat fits well and stays snug around the foot. Its innovative vapour traction island pattern makes this low profile Nike Victory shoe deliver targeted traction where the player needs it most. This special shoe engineering concept with special TPU bladed studs aids quicker acceleration of players at scintillating speed, making a game of soccer one of the most pleasurable Sports to ever play. Upper Ultra-lightweight synthetic leather adjusts to the foot shape and works to keep feet locked in place Lace-ups for a snug fit Bold graphic on the uppers for a stylish look Contoured speed last for an ergonomic fit Full-length glass-fibre chassis for responsive energy and a firm yet flexible fit Cushioning at the heel provides a more comfortable feel and helps keep the heel from slipping Midsole Contoured sockliner at the midsole for cushioning to reduce stud pressure Outsole Glass-fibre outsole engineered for responsiveness and explosive bursts of speed while ensuring excellent traction Firm, yet flexible outsole that helps reduce stud pressure Hard-ground (HG) studs for use on wet and muddy fields that require maximum traction Wash care Wipe surface with soft, clean, damp cloth to remove dust Do not machine wash",Nike Men Mercurial Victory II HG-V Fluorescent Green Sports Shoes,Sports Shoes
21338.jpg,"High on style, this pair of sunglasses from louis philippe comes in a styled frame. An eclectic mixture of fashion and substance, its shape provides the perfect Fit over the root of your nose. The glasses come with a stylish case.  Tinted lens which provide 100% protection against harmful UV rays Plastic frame with metal on the top in an aerodynamic design Oval lens for absolute style and protection from elements Flexible hinges for durability Fixed nose holder with a thick nose bridge which is part of the frame to hold the glasses in place, ensuring there is no friction with the skin   Care  Remove dust and grime by gently wiping the lens with the cloth provided Remove oil or tough stains with the help of a lens cleaner Do not use your fingers on such stains Do not place glasses on uneven surface or heated areas like the dashboard of a car",Louis Philippe Men Gold Frame Sunglasses,Sunglasses
25282.jpg,"You only have one chance to make a good first impression, so if you want to look smart, the lino perros Handbag Collection provides you with a superb array of ideas. The bags are all spacious, with multiple compartments and pockets allowing you to carry a lot more, and still be well organised. The collection is characterised by exciting design elements that break the monotony &  make the bags more fun! Height : 21 cm Width : 27 cm Depth : 12 cm Made of blended fabric for durability Has one zippered compartment with one inner zipper and organiser sleeves for a mobile and essentials Two short straps for carrying ease and style Zipper pocket at the back for additional space Metallic embellishment with brand name on the front Removable cross metallic chain in the front                                                                                                                                                                                                                                Buckles design on the front for style Legs at base Care Wipe surface with a damp, clean cloth to remove dust",Lino Perros Women Brown and Red Handbag,Handbags
